table_id,attribute_name,attribute_expr
customer,record_updated_at,rec_update_dt
customer,first_name,first_name
customer,last_name,last_name
customer,email_raw,email
customer,phone_raw,phone
transactions,record_updated_at,load_ts
transactions,email_raw,customer_email
transactions,phone_raw,customer_phone
loyalty_accounts,record_updated_at,updated_at
loyalty_accounts,email_raw,email
loyalty_accounts,phone_raw,phone
web_events,record_updated_at,event_ts
web_events,email_raw,email
web_events,phone_raw,phone
store_visits,record_updated_at,visit_ts
store_visits,email_raw,email
store_visits,phone_raw,phone
